# old swgcraft.com resource-id: nbr <==> abbrev -- now 99.99% obsolete
1,egy
51,seg
97,coseg
98,dnseg
99,daseg
100,enseg
101,loseg
102,naseg
103,roseg
104,tuseg
105,taseg
106,yaseg
52,weg
107,coweg
108,dnweg
109,daweg
110,enweg
111,loweg
112,naweg
113,roweg
114,tuweg
115,taweg
116,yaweg
2,ino
6,chm
15,fib
53,cofib
54,dnfib
55,dafib
56,enfib
57,grfib
58,lofib
59,nafib
60,rofib
61,tufib
62,tafib
63,yafib
16,inp
64,lub
65,pol
17,pet
66,kpf
117,c1kpf
118,c2kpf
119,c3kpf
120,c4kpf
121,c6kpf
122,c7kpf
67,upf
7,gas
18,irt
68,krt
123,cokrt
124,dikrt
125,hukrt
126,h3krt
128,kakrt
129,makrt
130,mekrt
131,mikrt
132,obkrt
133,rekrt
69,ukrt
19,rtv
70,ktv
134,elktv
135,irktv
136,mektv
137,orktv
138,skktv
139,toktv
140,uoktv
71,siktv
8,min
20,gem
72,amo
141,baamo
142,bramo
143,plamo
144,ruamo
145,ryamo
146,seamo
147,veamo
73,cry
148,bycry
149,gacry
150,gdcry
151,kecry
152,lacry
153,sjcry
154,vecry
74,ugt
21,lgo
75,ign
155,ext
252,chext
253,keext
254,liext
255,maext
256,phext
257,quext
156,int
258,beint
259,chint
260,dyint
261,ioint
157,ugn
76,sed
158,crb
262,alcrb
263,bacrb
264,chcrb
265,oscrb
159,sil
266,crsil
267,fesil
268,rosil
22,mtl
77,fer
160,irn
269,axirn
270,brirn
271,coirn
272,dvirn
273,doirn
274,kairn
275,plirn
276,poirn
277,sirn
161,stl
278,cbstl
279,bistl
280,custl
281,dtstl
282,dlstl
283,dustl
284,kistl
285,nestl
286,qustl
287,rhstl
288,sstl
599,thstl
162,unfer
78,nfr
163,alu
289,agalu
290,chalu
291,dualu
292,lsalu
293,pealu
294,phalu
295,tialu
164,cpr
296,becpr
297,cocpr
298,cbcpr
299,decpr
300,dicpr
301,kecpr
302,mycpr
303,plcpr
304,pocpr
305,scpr
306,thcpr
165,unnfr
23,rad
79,krd
166,c1krd
167,c2krd
168,c4krd
169,c5krd
170,hpkrd
80,urd
24,spc
81,ksp
171,c3ksp
172,c5ksp
82,usp
9,wtr
25,cowtr
26,dnwtr
27,dawtr
28,enwtr
29,lowtr
30,nawtr
31,rowtr
32,tuwtr
33,tawtr
34,yawtr
3,org
10,crs
35,cfd
83,met
173,amt
307,coamt
308,dnamt
309,daamt
310,enamt
311,loamt
312,naamt
313,roamt
314,tuamt
315,taamt
316,yaamt
174,cmt
317,cocmt
318,dncmt
319,dacmt
320,encmt
321,locmt
322,nacmt
323,rocmt
324,tucmt
325,tacmt
326,yacmt
175,dmt
327,codmt
328,dndmt
329,dadmt
330,endmt
331,lodmt
332,nadmt
333,rodmt
334,tudmt
335,tadmt
336,yadmt
176,fmt
177,hmt
337,cohmt
338,dnhmt
339,dahmt
340,enhmt
341,lohmt
342,nahmt
343,rohmt
344,tuhmt
345,tahmt
346,yahmt
178,imt
347,coimt
348,dnimt
349,daimt
350,enimt
351,loimt
352,naimt
353,roimt
354,tuimt
355,taimt
356,yaimt
179,rmt
357,cormt
358,dnrmt
359,darmt
360,enrmt
361,lormt
362,narmt
363,rormt
364,turmt
365,tarmt
366,yarmt
180,sfd
367,tmt
368,mmt
181,wmt
369,cowmt
370,dnwmt
371,dawmt
372,enwmt
373,lowmt
374,nawmt
375,rowmt
376,tuwmt
377,tawmt
378,yawmt
84,mlk
182,dmk
379,codmk
380,dndmk
381,dadmk
382,endmk
383,lodmk
384,nadmk
385,rodmk
386,tudmk
387,tadmk
388,yadmk
183,wmk
389,cowmk
390,dnwmk
391,dawmk
392,enwmk
393,lowmk
394,nawmk
395,rowmk
396,tuwmk
397,tawmk
398,yawmk
36,hid
85,bhd
184,cobhd
185,dnbhd
186,dabhd
187,enbhd
188,lobhd
189,nabhd
190,robhd
191,tubhd
192,tabhd
193,yabhd
87,lhd
194,colhd
195,dnlhd
196,dalhd
197,enlhd
198,lolhd
199,nalhd
200,rolhd
201,tulhd
202,talhd
203,yalhd
88,shd
204,coshd
205,dnshd
206,dashd
207,enshd
208,loshd
209,nashd
210,roshd
211,tushd
212,tashd
213,yashd
89,whd
214,cowhd
215,dnwhd
216,dawhd
217,enwhd
218,lowhd
219,nawhd
220,rowhd
221,tuwhd
222,tawhd
223,yawhd
11,cst
37,bne
90,abn
224,coabn
225,dnabn
226,daabn
227,enabn
228,loabn
229,naabn
230,roabn
231,tuabn
232,taabn
233,yaabn
91,vbn
234,covbn
235,dnvbn
236,davbn
237,envbn
238,lovbn
239,navbn
240,rovbn
241,tuvbn
242,tavbn
243,yavbn
38,hrn
92,dnhrn
93,tuhrn
12,egg
39,coegg
40,dnegg
41,daegg
42,enegg
43,loegg
44,naegg
45,roegg
46,tuegg
47,taegg
48,yaegg
13,frs
49,flf
94,cer
244,crn
399,dcn
416,codcn
417,dndcn
418,dadcn
419,endcn
420,lodcn
421,nadcn
422,rodcn
423,tudcn
424,tadcn
425,yadcn
400,wcn
426,cowcn
427,dnwcn
428,dawcn
429,enwcn
430,lowcn
431,nawcn
432,rowcn
433,tuwcn
434,tawcn
435,yawcn
245,oat
401,dot
436,codot
437,dndot
438,dadot
439,endot
440,lodot
441,nadot
442,rodot
443,tudot
444,tadot
445,yadot
402,wot
446,cowot
447,dnwot
448,dawot
449,enwot
450,lowot
451,nawot
452,rowot
453,tuwot
454,tawot
455,yawot
246,ric
403,drc
456,codrc
457,dndrc
458,dadrc
459,endrc
460,lodrc
461,nadrc
462,rodrc
463,tudrc
464,tadrc
465,yadrc
404,wrc
466,cowrc
467,dnwrc
468,dawrc
469,enwrc
470,lowrc
471,nawrc
472,rowrc
473,tuwrc
474,tawrc
475,yawrc
247,wht
405,dwt
476,codwt
477,dndwt
478,dadwt
479,endwt
480,lodwt
481,nadwt
482,rodwt
483,tudwt
484,tadwt
485,yadwt
406,wwt
486,cowwt
487,dnwwt
488,dawwt
489,enwwt
490,lowwt
491,nawwt
492,rowwt
493,tuwwt
494,tawwt
495,yawwt
95,sds
248,frt
407,ber
496,cober
